date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//2008_0420varennes0015-600x450.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/2008_0420varennes0015-600x450.29.delayed	(from https://fatfish.ca/en/)
00:47:50	0/-1	---M--	400	error ('')			https:////fatfish.ca//wp-content//uploads//2022//11//dscn0451-600x450.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/dscn0451-600x450.2a.delayed	(from https://fatfish.ca/en/)
00:47:52	20071/20071	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:42:43%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/node-vendor/ua-parser-js/dist/ua-parser.min.js?ver=882073a9	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/node-vendor/ua-parser-js/dist/ua-parser.min8e32.js	(from https://fatfish.ca/en/)
00:47:52	0/0	---M--	403	error ('Forbidden')	text/html	date:Tue,%2001%20Aug%202023%2019:17:52%20GMT	https://fatfish.ca/en/projects/?expertise=strategy	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/projects/indexe908.html	(from https://fatfish.ca/en/)
00:47:53	62972/62972	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:42:50%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/scripts/greensock.min.js?ver=882073a9	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/scripts/greensock.min8e32.js	(from https://fatfish.ca/en/)
00:47:53	7889/7889	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:42:45%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/node-vendor/lazysizes/lazysizes.min.js?ver=882073a9	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/node-vendor/lazysizes/lazysizes.min8e32.js	(from https://fatfish.ca/en/)
00:47:53	29240/29240	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:42:48%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/scripts/vendors.min.js?ver=882073a9	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/scripts/vendors.min8e32.js	(from https://fatfish.ca/en/)
00:47:54	13239/13239	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:41:38%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/scripts/ffcursor.min.js?ver=882073a9	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/scripts/ffcursor.min8e32.js	(from https://fatfish.ca/en/)
00:47:55	7920/7920	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:41:38%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/scripts/ffmagnet.min.js?ver=882073a9	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/scripts/ffmagnet.min8e32.js	(from https://fatfish.ca/en/)
00:47:55	20438/20438	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:41:38%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/scripts/plugins.min.js?ver=882073a9	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/scripts/plugins.min8e32.js	(from https://fatfish.ca/en/)
